Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction
4,Norell Ave,yes,N/A,no
6,West TH 36,yes,N/A,no
7,North Manning Ave,yes,N/A,no
8,South Manning Ave,yes,N/A,no
9,East TH 36,yes,N/A,no
10,Crestview Blvd E,yes,N/A,no
11,Oak Green Ave South,yes,N/A,no
12,Stillwater Motors,yes,N/A,no
13,58th St West,yes,N/A,no
14,Greeley St,yes,N/A,no
15,Washington Ave,yes,N/A,no
16,Stillwater Blvd South,yes,N/A,no
17,58th St East,yes,N/A,no
18,North Stillwater Blvd,yes,N/A,no
19,Crestview Blvd W,yes,N/A,no
20,North Frontage Road,yes,N/A,no
1,Manning Ave,yes,N/A,no
2,TH 36 EB Stillwater Blvd Off Ramp,yes,N/A,no
3,TH 36 WB Stillwater Blvd On-Ramp,yes,N/A,no
4,Norell Ave,yes,N/A,no
6,West TH 36,yes,N/A,no
7,North Manning Ave,yes,N/A,no
8,South Manning Ave,yes,N/A,no
9,East TH 36,yes,N/A,no
10,Crestview Blvd E,yes,N/A,no
11,Oak Green Ave South,yes,N/A,no
12,Stillwater Motors,yes,N/A,no
13,58th St West,yes,N/A,no
14,Greeley St,yes,N/A,no
15,Washington Ave,yes,N/A,no
16,Stillwater Blvd South,yes,N/A,no
17,58th St East,yes,N/A,no
18,North Stillwater Blvd,yes,N/A,no
19,Crestview Blvd W,yes,N/A,no
20,North Frontage Road,yes,N/A,no
